Freq.	V(out)
1.28824955169313e+004	(4.16109772652545e+001dB,-1.16609984453762e+002°)
1.31825673855640e+004	(4.17705948992150e+001dB,-1.17142631339123e+002°)
1.34896288259164e+004	(4.19287081417647e+001dB,-1.17682599547261e+002°)
1.38038426460288e+004	(4.20852761844460e+001dB,-1.18229798391043e+002°)
1.41253754462274e+004	(4.22402582414315e+001dB,-1.18784125788333e+002°)
1.44543977074592e+004	(4.23936136391413e+001dB,-1.19345468033692e+002°)
1.47910838816820e+004	(4.25453019107990e+001dB,-1.19913699603065e+002°)
1.51356124843620e+004	(4.26952828944112e+001dB,-1.20488682994303e+002°)
1.54881661891247e+004	(4.28435168349506e+001dB,-1.21070268606858e+002°)
1.58489319246110e+004	(4.29899644894857e+001dB,-1.21658294663423e+002°)
1.62181009735892e+004	(4.31345872357401e+001dB,-1.22252587176510e+002°)
1.65958690743755e+004	(4.32773471823935e+001dB,-1.22852959962361e+002°)
1.69824365246173e+004	(4.34182072819337e+001dB,-1.23459214704856e+002°)
1.73780082874936e+004	(4.35571314444962e+001dB,-1.24071141071334e+002°)
1.77827941003891e+004	(4.36940846523611e+001dB,-1.24688516882166e+002°)
1.81970085860997e+004	(4.38290330747610e+001dB,-1.25311108335616e+002°)
1.86208713666285e+004	(4.39619441817203e+001dB,-1.25938670288855e+002°)
1.90546071796323e+004	(4.40927868564650e+001dB,-1.26570946595815e+002°)
1.94984459975803e+004	(4.42215315060588e+001dB,-1.27207670502108e+002°)
1.99526231496887e+004	(4.43481501686451e+001dB,-1.27848565096420e+002°)
2.04173794466951e+004	(4.44726166171969e+001dB,-1.28493343817702e+002°)
2.08929613085402e+004	(4.45949064588698e+001dB,-1.29141711016692e+002°)
2.13796208950222e+004	(4.47149972290032e+001dB,-1.29793362569812e+002°)
2.18776162394954e+004	(4.48328684789129e+001dB,-1.30447986542902e+002°)
2.23872113856832e+004	(4.49485018574939e+001dB,-1.31105263902043e+002°)
2.29086765276776e+004	(4.50618811850272e+001dB,-1.31764869267678e+002°)
2.34422881531990e+004	(4.51729925191980e+001dB,-1.32426471708258e+002°)
2.39883291901947e+004	(4.52818242124062e+001dB,-1.33089735568897e+002°)
2.45470891568501e+004	(4.53883669601918e+001dB,-1.33754321330304e+002°)
2.51188643150956e+004	(4.54926138401665e+001dB,-1.34419886492790e+002°)
2.57039578276884e+004	(4.55945603410387e+001dB,-1.35086086479858e+002°)
2.63026799189536e+004	(4.56942043814228e+001dB,-1.35752575555702e+002°)
2.69153480392689e+004	(4.57915463188538e+001dB,-1.36419007750887e+002°)
2.75422870333814e+004	(4.58865889479994e+001dB,-1.37085037790044e+002°)
2.81838293126443e+004	(4.59793374888260e+001dB,-1.37750322015786e+002°)
2.88403150312658e+004	(4.60697995643546e+001dB,-1.38414519302783e+002°)
2.95120922666636e+004	(4.61579851687921e+001dB,-1.39077291956384e+002°)
3.01995172040199e+004	(4.62439066253642e+001dB,-1.39738306589849e+002°)
3.09029543251357e+004	(4.63275785353315e+001dB,-1.40397234975158e+002°)
3.16227766016835e+004	(4.64090177178244e+001dB,-1.41053754862107e+002°)
3.23593656929626e+004	(4.64882431411716e+001dB,-1.41707550761022e+002°)
3.31131121482588e+004	(4.65652758468538e+001dB,-1.42358314684978e+002°)
3.38844156139200e+004	(4.66401388658007e+001dB,-1.43005746847438e+002°)
3.46736850452529e+004	(4.67128571285185e+001dB,-1.43649556312172e+002°)
3.54813389233573e+004	(4.67834573693005e+001dB,-1.44289461592514e+002°)
3.63078054770098e+004	(4.68519680255375e+001dB,-1.44925191197722e+002°)
3.71535229097169e+004	(4.69184191326274e+001dB,-1.45556484124583e+002°)
3.80189396320558e+004	(4.69828422155267e+001dB,-1.46183090293099e+002°)
3.89045144994277e+004	(4.70452701776180e+001dB,-1.46804770925515e+002°)
3.98107170553494e+004	(4.71057371874936e+001dB,-1.47421298868421e+002°)
4.07380277804109e+004	(4.71642785648018e+001dB,-1.48032458858326e+002°)
4.16869383470332e+004	(4.72209306653480e+001dB,-1.48638047731290e+002°)
4.26579518801589e+004	(4.72757307666236e+001dB,-1.49237874577888e+002°)
4.36515832240162e+004	(4.73287169541046e+001dB,-1.49831760844995e+002°)
4.46683592150959e+004	(4.73799280092451e+001dB,-1.50419540386361e+002°)
4.57088189614871e+004	(4.74294032992371e+001dB,-1.51001059464038e+002°)
4.67735141287194e+004	(4.74771826695855e+001dB,-1.51576176703292e+002°)
4.78630092322634e+004	(4.75233063395659e+001dB,-1.52144763003560e+002°)
