Freq.	V(out)
1.81970085860998e+002	(2.15453165256081e+001dB,7.02180129671010e+001°)
1.86208713666287e+002	(2.16593165125136e+001dB,7.00758363798826e+001°)
1.90546071796324e+002	(2.17736604440759e+001dB,6.99486038110302e+001°)
1.94984459975804e+002	(2.18884229352411e+001dB,6.98360509022607e+001°)
1.99526231496888e+002	(2.20036767959480e+001dB,6.97378928086491e+001°)
2.04173794466953e+002	(2.21194928472237e+001dB,6.96538249185033e+001°)
2.08929613085404e+002	(2.22359397453743e+001dB,6.95835236547951e+001°)
2.13796208950223e+002	(2.23530838159779e+001dB,6.95266473531115e+001°)
2.18776162394955e+002	(2.24709888981540e+001dB,6.94828372098016e+001°)
2.23872113856834e+002	(2.25897161997903e+001dB,6.94517182959155e+001°)
2.29086765276777e+002	(2.27093241650999e+001dB,6.94329006296420e+001°)
2.34422881531992e+002	(2.28298683537010e+001dB,6.94259803014039e+001°)
2.39883291901949e+002	(2.29514013336563e+001dB,6.94305406443018e+001°)
2.45470891568503e+002	(2.30739725871744e+001dB,6.94461534424091e+001°)
2.51188643150958e+002	(2.31976284302460e+001dB,6.94723801710783e+001°)
2.57039578276886e+002	(2.33224119464513e+001dB,6.95087732592008e+001°)
2.63026799189538e+002	(2.34483629345951e+001dB,6.95548773687861e+001°)
2.69153480392691e+002	(2.35755178703257e+001dB,6.96102306815039e+001°)
2.75422870333816e+002	(2.37039098822774e+001dB,6.96743661866657e+001°)
2.81838293126445e+002	(2.38335687416875e+001dB,6.97468129619091e+001°)
2.88403150312660e+002	(2.39645208655374e+001dB,6.98270974403959e+001°)
2.95120922666638e+002	(2.40967893331472e+001dB,6.99147446564811e+001°)
3.01995172040201e+002	(2.42303939155800e+001dB,7.00092794639410e+001°)
3.09029543251358e+002	(2.43653511164553e+001dB,7.01102277205550e+001°)
3.16227766016837e+002	(2.45016742254756e+001dB,7.02171174321630e+001°)
3.23593656929628e+002	(2.46393733820494e+001dB,7.03294798520706e+001°)
3.31131121482590e+002	(2.47784556489289e+001dB,7.04468505306321e+001°)
3.38844156139202e+002	(2.49189250953629e+001dB,7.05687703101634e+001°)
3.46736850452531e+002	(2.50607828887359e+001dB,7.06947862619552e+001°)
3.54813389233575e+002	(2.52040273935953e+001dB,7.08244525620140e+001°)
3.63078054770101e+002	(2.53486542769046e+001dB,7.09573313043366e+001°)
3.71535229097172e+002	(2.54946566196475e+001dB,7.10929932468545e+001°)
3.80189396320560e+002	(2.56420250324380e+001dB,7.12310184926457e+001°)
3.89045144994280e+002	(2.57907477755828e+001dB,7.13709971024196e+001°)
3.98107170553496e+002	(2.59408108814971e+001dB,7.15125296401063e+001°)
4.07380277804112e+002	(2.60921982793569e+001dB,7.16552276515313e+001°)
4.16869383470335e+002	(2.62448919208723e+001dB,7.17987140764673e+001°)
4.26579518801592e+002	(2.63988719065009e+001dB,7.19426235968420e+001°)
4.36515832240165e+002	(2.65541166111234e+001dB,7.20866029209685e+001°)
4.46683592150962e+002	(2.67106028080791e+001dB,7.22303110089644e+001°)
4.57088189614874e+002	(2.68683057926791e+001dB,7.23734192381404e+001°)
4.67735141287197e+002	(2.70271995014337e+001dB,7.25156115153089e+001°)
4.78630092322637e+002	(2.71872566302624e+001dB,7.26565843354923e+001°)
4.89778819368445e+002	(2.73484487474256e+001dB,7.27960467932911e+001°)
5.01187233627271e+002	(2.75107464039338e+001dB,7.29337205481941e+001°)
5.12861383991364e+002	(2.76741192387402e+001dB,7.30693397490981e+001°)
5.24807460249771e+002	(2.78385360796301e+001dB,7.32026509207229e+001°)
5.37031796370251e+002	(2.80039650394890e+001dB,7.33334128157364e+001°)
5.49540873857623e+002	(2.81703736072735e+001dB,7.34613962366401e+001°)
5.62341325190348e+002	(2.83377287336162e+001dB,7.35863838312995e+001°)
5.75439937337155e+002	(2.85059969112013e+001dB,7.37081698648973e+001°)
5.88843655355587e+002	(2.86751442503520e+001dB,7.38265599722406e+001°)
6.02559586074356e+002	(2.88451365484142e+001dB,7.39413708944678e+001°)
6.16595001861481e+002	(2.90159393540765e+001dB,7.40524302025635e+001°)
6.30957344480192e+002	(2.91875180270097e+001dB,7.41595760110069e+001°)
6.45654229034654e+002	(2.93598377912611e+001dB,7.42626566852560e+001°)
6.60693448007594e+002	(2.95328637847534e+001dB,7.43615305447060e+001°)
6.76082975391980e+002	(2.97065611033391e+001dB,7.44560655647420e+001°)
6.91830970918935e+002	(2.98808948400876e+001dB,7.45461390801282e+001°)
7.07945784384136e+002	(3.00558301205098e+001dB,7.46316374917911e+001°)
