Freq.	V(out3)
3.16227766016838e+002	(2.39936964876684e+001dB,-1.15377488981212e+002°)
3.98107170553498e+002	(2.53671590408640e+001dB,-1.22754802861986e+002°)
5.01187233627273e+002	(2.65222491252836e+001dB,-1.30250546758307e+002°)
6.30957344480194e+002	(2.74462337107759e+001dB,-1.37594780059062e+002°)
7.94328234724283e+002	(2.81484263531435e+001dB,-1.44495458492704e+002°)
1.00000000000000e+003	(2.86573980797299e+001dB,-1.50718862265330e+002°)
1.25892541179417e+003	(2.90119274740833e+001dB,-1.56135550897646e+002°)
1.58489319246112e+003	(2.92513686004532e+001dB,-1.60719976806497e+002°)
1.99526231496888e+003	(2.94094823528719e+001dB,-1.64521378570477e+002°)
2.51188643150959e+003	(2.95122698383606e+001dB,-1.67629320762757e+002°)
3.16227766016839e+003	(2.95783897905779e+001dB,-1.70147067131931e+002°)
3.98107170553498e+003	(2.96206281857560e+001dB,-1.72175497581904e+002°)
5.01187233627273e+003	(2.96474886709779e+001dB,-1.73805314281390e+002°)
6.30957344480195e+003	(2.96645190897084e+001dB,-1.75114405609864e+002°)
7.94328234724283e+003	(2.96752944508046e+001dB,-1.76167948896654e+002°)
1.00000000000000e+004	(2.96821000263309e+001dB,-1.77019751847736e+002°)
1.25892541179417e+004	(2.96863885455284e+001dB,-1.77714017073278e+002°)
1.58489319246112e+004	(2.96890791908780e+001dB,-1.78287133324383e+002°)
1.99526231496889e+004	(2.96907501472739e+001dB,-1.78769327736000e+002°)
2.51188643150959e+004	(2.96917610585802e+001dB,-1.79186131160087e+002°)
3.16227766016839e+004	(2.96923297204645e+001dB,-1.79559664829206e+002°)
3.98107170553498e+004	(2.96925787193052e+001dB,-1.79909781253683e+002°)
5.01187233627274e+004	(2.96925617475441e+001dB,1.79744898137974e+002°)
6.30957344480195e+004	(2.96922751441437e+001dB,1.79386003016046e+002°)
7.94328234724284e+004	(2.96916571064159e+001dB,1.78994445411492e+002°)
1.00000000000000e+005	(2.96905744051170e+001dB,1.78549415361795e+002°)
1.25892541179417e+005	(2.96887937857353e+001dB,1.78027293463733e+002°)
1.58489319246112e+005	(2.96859320254815e+001dB,1.77400432661131e+002°)
1.99526231496889e+005	(2.96813742349760e+001dB,1.76635763844192e+002°)
2.51188643150959e+005	(2.96741436866971e+001dB,1.75693189015262e+002°)
3.16227766016839e+005	(2.96626973625892e+001dB,1.74523750923203e+002°)
3.98107170553499e+005	(2.96446087517472e+001dB,1.73067626582360e+002°)
5.01187233627274e+005	(2.96160833206103e+001dB,1.71252115750600e+002°)
6.30957344480196e+005	(2.95712356693287e+001dB,1.68990037919943e+002°)
7.94328234724285e+005	(2.95010518475210e+001dB,1.66179390374281e+002°)
1.00000000000000e+006	(2.93919944167350e+001dB,1.62705829677426e+002°)
1.25892541179417e+006	(2.92243410754896e+001dB,1.58450469027155e+002°)
1.58489319246112e+006	(2.89706697596108e+001dB,1.53306134099811e+002°)
1.99526231496889e+006	(2.85954627967228e+001dB,1.47204102821653e+002°)
2.51188643150959e+006	(2.80573710838947e+001dB,1.40147931799426e+002°)
3.16227766016839e+006	(2.73154278782236e+001dB,1.32240208346968e+002°)
3.98107170553499e+006	(2.63383351233424e+001dB,1.23678801242000e+002°)
5.01187233627275e+006	(2.51124209196236e+001dB,1.14707510982580e+002°)
6.30957344480196e+006	(2.36426561141515e+001dB,1.05537565650098e+002°)
7.94328234724285e+006	(2.19451510204610e+001dB,9.62840105152378e+001°)
1.00000000000000e+007	(2.00354583526304e+001dB,8.69524312667930e+001°)
1.25892541179417e+007	(1.79189663433917e+001dB,7.74774494512684e+001°)
1.58489319246112e+007	(1.55874122699886e+001dB,6.77896345080392e+001°)
1.99526231496889e+007	(1.30226118885517e+001dB,5.78808673769454e+001°)
2.51188643150959e+007	(1.02060101540930e+001dB,4.78384087656941e+001°)
3.16227766016839e+007	(7.12967311964742e+000dB,3.78258493810881e+001°)
3.98107170553499e+007	(3.80230134851629e+000dB,2.80158488157869e+001°)
5.01187233627275e+007	(2.46250173566394e-001dB,1.85132695496214e+001°)
6.30957344480196e+007	(-3.51242593888787e+000dB,9.31319964611364e+000°)
7.94328234724286e+007	(-7.45516180823817e+000dB,3.09753715599492e-001°)
1.00000000000001e+008	(-1.15788620635410e+001dB,-8.65786574977323e+000°)
1.25892541179417e+008	(-1.58992572430211e+001dB,-1.77427318817910e+001°)
